W020A Condomínio Parque das Hortênsias (149);;;;;
Demonstrativo de Receitas e Despesas Analítico;;;;;
"Entre 01/09/2024 e 30/09/2024; Com fornecedor/descrição; Com documento; Com competência; Com liquidação; Com conta bancária; Com parcela da despesa; Com porcentagem";;;;;
;;;;;
Saldo em 31/08/2024;;;;;
F. Ordinário;;;-12.095,84;;
F. Ordinário (Itauvest);;;-3,71;;
F. Reserva;;;31.316,03;;
F. Reserva (Itauvest);;;42,62;;
F. Implantação;;;-12.994,06;;
F. Implantação (Itauvest);;;1.343,59;;
;;;7.608,63;;
Receitas;Competência;;Valor;;
Receitas Ordinárias (85,44%);;;;;
Taxa Condominial;;;;;
18 cobranças;08/2024;332%;4.172,94;;
30 cobranças;08/2024;560%;7.031,09;;
245 cobranças;09/2024;4523%;56.798,35;;
1 cobrança;09/2024;37%;463,66;;
Total de Taxa Condominial;;5452%;68.466,04;;
Multas;;;;;
18 cobranças;08/2024;9%;111,05;;
4 cobranças;Acordo;3%;33,99;;
39 cobranças;09/2024;23%;287,54;;
23 cobranças;Acordo;20%;256,30;;
3 cobranças;09/2024;0%;3,60;;
Total de Multas;;55%;692,48;;
Juros;;;;;
18 cobranças;08/2024;17%;214,17;;
4 cobranças;Acordo;13%;167,89;;
39 cobranças;09/2024;15%;187,88;;
23 cobranças;Acordo;143%;1.792,13;;
3 cobranças;09/2024;0%;0,90;;
Total de Juros;;188%;2.362,97;;
Honorários Advocaticios;;;;;
2 cobranças;Acordo;15%;185,45;;
1 cobrança  Honorários de Execução;Acordo;2%;27,15;;
17 cobranças;Acordo;106%;1.335,92;;
1 cobrança  HOMORÁRIOS DE EXECUÇÃO;Acordo;6%;72,73;;
1 cobrança  HONORÁRIOS DE COBRANÇA HONORÁRIOS;Acordo;4%;55,76;;
EXECUCÃO;;;;;
3 cobranças  HONORÁRIOS DE EXECUÇÃO;Acordo;23%;286,47;;
Total de Honorários Advocaticios;;156%;1.963,48;;
Atualização Monetária;;;;;
3 cobranças;Acordo;1%;11,49;;
14 cobranças;Acordo;8%;103,51;;
Total de Atualização Monetária;;9%;115,00;;
Recebimentos a Maior;;;;;
1 cobrança;09/2024;6%;76,50;;
1 cobrança  Pagto duplicado ref. à cobrança#1135703 da unidade 3115;09/2024;-25%;(308,02);;
TORRE 3;;;;;
Total de Recebimentos a Maior;;-18%;(231,52);;
Acordos Recebidos;;;;;
4 cobranças;Acordo;114%;1.428,57;;
23 cobranças;Acordo;844%;10.598,01;;
Total de Acordos Recebidos;;958%;12.026,58;;
Pagamento a menor;;;;;
18 cobranças;08/2024;-14%;(172,27);;
1 cobrança  ref Cobr. 1153506 08/2024;09/2024;0%;4,10;;
1 cobrança  ref Cobr. 1153529 08/2024;09/2024;0%;4,10;;
1 cobrança  ref Cobr. 1153576 08/2024;09/2024;0%;4,90;;
1 cobrança  ref Cobr. 1153620 08/2024;09/2024;0%;4,10;;
;;;;;
Puiatti Gestão Condominial;;;;;
Rua Dr. Paulo Castro Pupo Nogueira, 730 - Nova Campinas - CEP: 13.092-104 - Campinas/SP;;;;;
www.puiatti.com.br  - WhatsApp Puiatti Atende (19) 99909-0561;;;;;
;;;;;
1 de 5;;;;;
;;;;;
1 cobrança  ref Cobr. 1153817 08/2024;09/2024;0%;3,69;;
1 cobrança  ref Cobr. 1153822 08/2024;09/2024;0%;4,62;;
Total de Pagamento a menor;;-12%;(146,76);;
